wavelength_nm,alpha_HTL,alpha_PEROVSKITE,alpha_ETL,alpha_FTO,k_HTL,k_PEROVSKITE,k_ETL,k_FTO,n_HTL,n_PEROVSKITE,n_ETL,n_FTO,n_METAL,k_METAL
768.0,0.0,45300.0,0.0,0.0,0.0,0.2768532066072138,0.0,0.0,1.666427823042735,2.179165546119658,2.3522238993504274,1.8623603987692312,0.10308707117948719,3.028088407521367
780.0,0.0,43200.0,0.0,0.0,0.0,0.2681442481212253,0.0,0.0,1.6640185982905982,2.167741675213675,2.3476149059829057,1.8614387692307695,0.10192451282051282,3.0173852991452987
800.0,0.0,39600.0,0.0,0.0,0.0,0.2521014298575622,0.0,0.0,1.66,2.1500000000000004,2.3399999999999994,1.86,0.09999999999999999,2.9999999999999996
816.0,0.0,36600.0,0.0,0.0,0.0,0.23766289342026548,0.0,0.0,1.656784898188034,2.1372257597264963,2.33391269634188,1.8588557193846156,0.09846129558974359,2.986123137094017
824.0,0.0,35100.0,0.0,0.0,0.0,0.23015714630405168,0.0,0.0,1.6551780912136749,2.1313883065982906,2.330853640752136,1.858261129846154,0.09768892389743589,2.979080117606837
832.0,0.0,33500.0,0.0,0.0,0.0,0.2217983286928653,0.0,0.0,1.6535721769572647,2.1259544538803423,2.3277761006495723,1.8576396012307694,0.09691292882051283,2.971911592478632
840.0,0.0,31900.0,0.0,0.0,0.0,0.21323579275452137,0.0,0.0,1.6519674529914528,2.1209520683760688,2.3246739145299142,1.856982153846154,0.09613210256410257,2.964575726495726
860.0,0.0,27600.0,0.0,0.0,0.0,0.18888508646146138,0.0,0.0,1.6479628034188036,2.1105166495726504,2.316770188034188,1.855122461538462,0.09415097435897438,2.945229401709402
880.0,0.0,22700.0,0.0,0.0,0.0,0.15896395716018508,0.0,0.0,1.6439721025641028,2.1033874871794875,2.308577641025641,1.8528418461538467,0.09211323076923078,2.9239220512820516
905.0,0.0,15000.0,0.0,0.0,0.0,0.10802641762362396,0.0,0.0,1.6390104252136752,2.0997887905982906,2.2977841367521368,1.8491854038461542,0.0894576858974359,2.893534337606838
915.0,0.0,10600.0,0.0,0.0,0.0,0.07718218965241465,0.0,0.0,1.6370359252136748,2.10017679059829,2.2932561367521362,1.8474159038461533,0.08835418589743588,2.8799493376068375
925.0,0.0,1960.0,0.0,0.0,0.0,0.014427395591280312,0.0,0.0,1.6350681089743588,2.1016907051282048,2.2885897435897435,1.8454447115384616,0.08722355769230769,2.8654246794871794
930.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.634086888888889,2.1028868888888885,2.286200888888889,1.8443780000000003,0.08664733333333335,2.8577844444444445
937.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6327163703760683,2.1050702434529907,2.2827904486837607,1.8427883527692308,0.08582767317948715,2.8466396941880343
948.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6305706579145298,2.1097416117606826,2.2772663772991457,1.840050146461538,0.08450732964102561,2.828007504957265
965.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6272753055555556,2.1200940555555534,2.268299555555556,1.835192249999999,0.08238258333333329,2.796295277777777
980.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6243905641025633,2.1325751794871763,2.2599130256410254,1.830214153846152,0.08041476923076918,2.765091282051281
994.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6217193363418803,2.147224320957262,2.251646682803419,1.8249282621538443,0.07849210543589735,2.7329874201709394
1040.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6131065982905994,2.2176296752136704,2.221086905982906,1.802606769230767,0.07150851282051274,2.6044252991452996
1070.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6076450769230775,2.2838066153846093,2.1979372307692344,1.7833573846153836,0.066322923076923,2.4987215384615418
1100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.602324786324786,2.3677094017093907,2.17186324786325,1.7598461538461514,0.060564102564102495,2.3731623931623957
1120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.598864136752134,2.4342179829059667,2.1526955213675194,1.7415704615384513,0.056374974358974095,2.2773360683760586
1130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5971614188034167,2.470807572649555,2.1425400341880376,1.7315995384615341,0.05416835897435868,2.2255417094017105
1137.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5959808934529853,2.4977832280683536,2.1351956179145297,1.7242765681538366,0.05257755010256382,2.1876861557264924
1161.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5920074642564082,2.5990691527179237,2.1084807401025643,1.6969335786153756,0.046822645076922687,2.047480025128202
1180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.588947145299148,2.6892856068375828,2.085564991452994,1.672712615384608,0.04192041025640991,1.9244895726495699
1200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.585811965811967,2.794273504273473,2.059658119658124,1.6446153846153706,0.03641025641025575,1.7829059829059872
1235.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5805519594016992,3.0040312863247465,2.0096300170940253,1.5886085192307533,0.025847929487178956,1.503283354700848
1290.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.572921555555567,3.4055215555555094,1.917859555555566,1.481425999999992,0.006671333333333251,0.9745577777777754
1320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5691164444444468,3.664316444444381,1.8604124444444636,1.4121919999999903,-0.005237333333333982,0.6359822222222249
