Wavelength_nm,Reflectance,Abs_FTO,Abs_ETL,Abs_PEROVSKITE,Abs_HTL
480.0,0.07825668383319433,3.3306690738754696e-16,1.1102230246251565e-16,0.9217420548216616,8.628488641075393e-07
490.0,0.07316062087835343,1.1102230246251565e-16,-1.1102230246251565e-16,0.9268378238996401,1.0372224337549104e-06
500.0,0.06916548540609123,5.551115123125783e-16,4.440892098500626e-16,0.9308325900862704,1.2453811842240795e-06
510.0,0.06618087890926991,-2.220446049250313e-16,-1.1102230246251565e-16,0.9338167914881714,1.452945052963918e-06
520.0,0.0642206014945987,-4.440892098500626e-16,-0.0,0.9357766376140326,1.6465371541109894e-06
530.0,0.06322404259277083,3.3306690738754696e-16,-3.3306690738754696e-16,0.9367727372823651,1.8071641813629293e-06
540.0,0.06315736183775093,-1.1102230246251565e-16,1.1102230246251565e-16,0.9368389609393447,1.8892882135040265e-06
550.0,0.06403875118701025,4.440892098500626e-16,-3.3306690738754696e-16,0.935957202335539,1.7868258648565703e-06
570.0,0.06828089329481289,1.1102230246251565e-16,5.551115123125783e-16,0.9317155802318652,2.159934015498466e-20
590.0,0.07501390945055968,-6.661338147750939e-16,-2.220446049250313e-16,0.9249807199623773,7.623296525288703e-21
610.0,0.08330394635645944,-4.440892098500626e-16,2.220446049250313e-16,0.9166879792067992,4.743384504624082e-20
630.0,0.09163380577633942,-7.771561172376096e-16,4.440892098500626e-16,0.9083541807165844,-4.2351647362715017e-20
650.0,0.09997974906567207,4.440892098500626e-16,1.1102230246251565e-16,0.9000023616755002,5.759824041329242e-20
670.0,0.10675370047204616,-0.0,-3.3306690738754696e-16,0.8932195946346082,-5.082197683525802e-20
690.0,0.11213262973678136,1.1102230246251565e-16,-2.220446049250313e-16,0.887827927075353,8.809142651444724e-20
710.0,0.11722600129557724,4.440892098500626e-16,5.551115123125783e-16,0.8827157927952483,-6.098637220230962e-20
718.0,0.11850778693754814,-1.1102230246251565e-16,-5.551115123125783e-16,0.8814234935988041,-3.2526065174565133e-19
724.0,0.11895743415024365,4.440892098500626e-16,-6.661338147750939e-16,0.8809651577856364,-9.622294280808852e-19
740.0,0.11888167383632287,1.1102230246251565e-16,1.1102230246251565e-16,0.8810113820553449,-4.472333961502706e-19
753.0,0.1192896774651617,6.661338147750939e-16,-2.220446049250313e-16,0.8805712510290875,-1.599198204416119e-18
758.0,0.11986153510389114,-3.3306690738754696e-16,-4.440892098500626e-16,0.8799855736393997,1.2739375526704677e-18
763.0,0.1206723807709848,-1.1102230246251565e-16,-0.0,0.8791575425210902,1.328147661294743e-18
768.0,0.12155168564427762,7.771561172376096e-16,-2.220446049250313e-16,0.87826146021264,-3.5236570605778894e-19
780.0,0.12323620267273717,4.440892098500626e-16,-2.220446049250313e-16,0.8765244225296607,-2.168404344971009e-19
800.0,0.12012417563575571,-3.3306690738754696e-16,6.661338147750939e-16,0.8795072512532374,3.957337929572091e-18
816.0,0.11236552618777505,-0.0,-5.551115123125783e-16,0.8871020868192565,-9.75781955236954e-19
824.0,0.10890335747978203,-3.3306690738754696e-16,-2.220446049250313e-16,0.8904565702704746,2.0599841277224584e-18
832.0,0.10718079270705003,-4.440892098500626e-16,-5.551115123125783e-16,0.8920414200685154,8.673617379884035e-19
840.0,0.10819651308475578,-6.661338147750939e-16,3.3306690738754696e-16,0.8908611470915764,3.7947076036992655e-18
860.0,0.12318886788969408,6.661338147750939e-16,-0.0,0.8752559972946692,-4.9873299934333204e-18
880.0,0.1445290695857261,5.551115123125783e-16,-5.551115123125783e-16,0.852740304775511,-3.903127820947816e-18
